project_name,functional_unit,metal,production_route,recycled_content_pct,electricity_kWh_per_FU,electricity_grid_region,fuel_MJ_per_FU,fuel_type,transport_mode,transport_distance_km,process_yield_pct,end_of_life_recycle_rate_pct,product_lifetime_years,region,data_confidence
Al-proj-0020,1 tonne,Aluminium,mix,21,3561,IN-Grid,89,natural_gas,truck,698,85,23,24,USA,predicted
Co-proj-0021,1 tonne,Copper,mix,44,1111,CN-Grid,975,coal,ship,775,87,89,22,USA,predicted
Al-proj-0022,1 tonne,Aluminium,mix,59,530,EU-Grid,1614,oil,truck,709,98,46,16,India,predicted
Co-proj-0023,1 tonne,Copper,secondary,20,3061,EU-Grid,1114,coal,ship,1300,92,78,47,India,predicted
Co-proj-0024,1 tonne,Copper,mix,45,7114,EU-Grid,378,biomass,truck,1591,98,52,37,Europe,user
Al-proj-0025,1 tonne,Aluminium,secondary,68,3494,EU-Grid,694,coal,truck,325,92,33,23,India,user
Co-proj-0026,1 tonne,Copper,primary,57,9790,US-Grid,1179,natural_gas,truck,713,87,56,10,China,predicted
Al-proj-0027,1 tonne,Aluminium,mix,36,1981,US-Grid,801,biomass,rail,1957,92,71,30,USA,predicted
Al-proj-0028,1 tonne,Aluminium,primary,40,2311,CN-Grid,1756,biomass,rail,1101,85,71,10,China,extracted
Co-proj-0029,1 tonne,Copper,secondary,41,3561,IN-Grid,655,oil,truck,1552,88,78,42,USA,predicted
Al-proj-0030,1 tonne,Aluminium,secondary,68,2944,EU-Grid,558,coal,rail,1246,99,62,18,Europe,predicted
Co-proj-0031,1 tonne,Copper,mix,75,5398,CN-Grid,1479,oil,truck,324,88,49,23,USA,predicted
Co-proj-0032,1 tonne,Copper,secondary,46,2335,IN-Grid,1817,oil,rail,1511,95,52,44,China,user
Al-proj-0033,1 tonne,Aluminium,primary,31,12392,IN-Grid,1203,coal,ship,719,92,87,26,India,user
Al-proj-0034,1 tonne,Aluminium,primary,86,11371,IN-Grid,1530,biomass,truck,1806,88,51,49,India,extracted
Co-proj-0035,1 tonne,Copper,mix,52,4882,US-Grid,1451,biomass,ship,212,99,69,12,China,user
Co-proj-0036,1 tonne,Copper,primary,47,15956,EU-Grid,190,oil,ship,1057,86,23,21,USA,user
Al-proj-0037,1 tonne,Aluminium,mix,60,2898,CN-Grid,495,oil,truck,1030,90,57,50,USA,user
Co-proj-0038,1 tonne,Copper,mix,53,2331,CN-Grid,1584,natural_gas,truck,622,95,32,46,China,user
Al-proj-0039,1 tonne,Aluminium,primary,73,12991,EU-Grid,1524,oil,rail,462,98,59,31,China,predicted
Co-proj-0040,1 tonne,Copper,primary,90,16785,IN-Grid,682,oil,truck,1959,89,60,29,China,predicted
Co-proj-0041,1 tonne,Copper,primary,78,16072,EU-Grid,1187,coal,truck,627,95,93,14,India,user
Al-proj-0042,1 tonne,Aluminium,primary,72,7242,IN-Grid,577,coal,ship,530,87,95,50,India,extracted
Al-proj-0043,1 tonne,Aluminium,mix,59,3052,US-Grid,189,oil,rail,313,91,88,34,Europe,predicted
Al-proj-0044,1 tonne,Aluminium,primary,51,3050,IN-Grid,796,coal,truck,488,91,94,42,Europe,predicted
Al-proj-0045,1 tonne,Aluminium,mix,67,2157,US-Grid,1782,coal,ship,1857,90,20,9,Europe,extracted
Co-proj-0046,1 tonne,Copper,mix,73,7865,EU-Grid,1235,coal,ship,538,98,86,6,India,user
Al-proj-0047,1 tonne,Aluminium,secondary,56,4313,CN-Grid,1979,oil,ship,1099,91,26,25,USA,user
Co-proj-0048,1 tonne,Copper,mix,67,7711,CN-Grid,1854,oil,rail,1564,86,31,30,USA,predicted
Al-proj-0049,1 tonne,Aluminium,mix,45,3107,US-Grid,235,oil,rail,1782,89,46,15,Europe,extracted
Al-proj-0050,1 tonne,Aluminium,primary,25,8246,EU-Grid,1865,coal,ship,1979,91,74,28,China,user
Al-proj-0051,1 tonne,Aluminium,primary,71,2384,IN-Grid,788,biomass,rail,1232,99,52,7,Europe,user
Al-proj-0052,1 tonne,Aluminium,secondary,48,4960,US-Grid,1176,oil,truck,1877,85,32,49,Europe,predicted
Co-proj-0053,1 tonne,Copper,mix,80,5269,EU-Grid,1569,coal,rail,525,97,75,15,China,predicted
Al-proj-0054,1 tonne,Aluminium,primary,82,5641,US-Grid,1894,coal,truck,930,94,23,39,Europe,extracted
Co-proj-0055,1 tonne,Copper,mix,41,910,US-Grid,106,natural_gas,ship,161,98,87,11,USA,user
Al-proj-0056,1 tonne,Aluminium,secondary,31,4816,CN-Grid,1639,natural_gas,rail,1310,89,27,32,China,predicted
Co-proj-0057,1 tonne,Copper,primary,71,21917,CN-Grid,1857,oil,rail,516,89,24,8,Europe,extracted
Co-proj-0058,1 tonne,Copper,mix,63,4628,CN-Grid,1484,natural_gas,truck,1821,92,67,46,India,user
Co-proj-0059,1 tonne,Copper,primary,26,13106,CN-Grid,599,oil,truck,1309,99,30,38,USA,user
Al-proj-0060,1 tonne,Aluminium,mix,42,1500,CN-Grid,778,oil,rail,719,93,88,43,China,predicted
Co-proj-0061,1 tonne,Copper,primary,81,6218,US-Grid,1337,oil,truck,562,88,69,15,China,user
Co-proj-0062,1 tonne,Copper,primary,31,17051,US-Grid,1533,natural_gas,rail,395,88,84,49,China,extracted
Al-proj-0063,1 tonne,Aluminium,mix,70,3995,IN-Grid,438,coal,ship,1404,92,37,49,India,predicted
Co-proj-0064,1 tonne,Copper,primary,74,20884,US-Grid,1281,biomass,rail,1882,98,72,35,India,user
Al-proj-0065,1 tonne,Aluminium,mix,36,2118,EU-Grid,334,coal,rail,1491,98,33,34,Europe,extracted
Al-proj-0066,1 tonne,Aluminium,secondary,30,1614,EU-Grid,1399,oil,truck,706,89,67,42,Europe,extracted
Co-proj-0067,1 tonne,Copper,secondary,76,4845,EU-Grid,447,natural_gas,rail,404,94,36,22,Europe,user
Co-proj-0068,1 tonne,Copper,mix,90,812,IN-Grid,557,biomass,ship,751,85,21,33,China,user
Co-proj-0069,1 tonne,Copper,secondary,57,1643,US-Grid,1812,oil,rail,1149,97,53,6,Europe,user
Al-proj-0070,1 tonne,Aluminium,primary,74,3077,CN-Grid,1807,natural_gas,truck,1558,91,28,37,India,predicted
Al-proj-0071,1 tonne,Aluminium,primary,45,5578,US-Grid,1940,coal,truck,1481,86,59,36,Europe,user
Al-proj-0072,1 tonne,Aluminium,primary,34,9695,US-Grid,1041,coal,rail,1088,96,33,18,India,user
Al-proj-0073,1 tonne,Aluminium,secondary,59,4786,CN-Grid,1476,natural_gas,rail,1160,98,34,36,India,predicted
Al-proj-0074,1 tonne,Aluminium,mix,86,2991,EU-Grid,851,oil,rail,525,95,38,36,Europe,extracted
Al-proj-0075,1 tonne,Aluminium,primary,29,10276,US-Grid,1597,biomass,truck,1789,92,49,11,India,user
Al-proj-0076,1 tonne,Aluminium,primary,29,4171,EU-Grid,1572,natural_gas,truck,883,91,26,26,USA,user
Al-proj-0077,1 tonne,Aluminium,secondary,31,4458,EU-Grid,1608,coal,ship,309,97,56,23,USA,user
Al-proj-0078,1 tonne,Aluminium,primary,31,7341,US-Grid,1942,coal,truck,1405,87,80,50,Europe,extracted
Co-proj-0079,1 tonne,Copper,primary,31,19439,IN-Grid,1451,biomass,ship,1259,92,40,29,China,extracted
Co-proj-0080,1 tonne,Copper,secondary,25,6959,CN-Grid,1257,coal,truck,743,85,36,25,USA,predicted
Co-proj-0081,1 tonne,Copper,primary,30,24410,US-Grid,1754,natural_gas,rail,1332,85,48,28,China,user
Al-proj-0082,1 tonne,Aluminium,mix,48,2308,EU-Grid,1040,natural_gas,rail,381,86,72,50,China,extracted
Al-proj-0083,1 tonne,Aluminium,primary,28,11307,US-Grid,1419,natural_gas,truck,926,89,70,14,China,predicted
Al-proj-0084,1 tonne,Aluminium,mix,25,2051,IN-Grid,331,biomass,rail,1457,93,70,9,India,extracted
Al-proj-0085,1 tonne,Aluminium,secondary,52,3129,CN-Grid,1005,oil,truck,1142,86,24,34,China,extracted
Co-proj-0086,1 tonne,Copper,mix,74,6596,US-Grid,299,biomass,rail,1613,94,43,36,Europe,extracted
Co-proj-0087,1 tonne,Copper,primary,54,2152,IN-Grid,1571,biomass,ship,1167,94,29,28,India,user
Co-proj-0088,1 tonne,Copper,secondary,68,1262,EU-Grid,1191,natural_gas,rail,1047,87,77,24,India,extracted
Al-proj-0089,1 tonne,Aluminium,primary,84,4158,US-Grid,837,oil,truck,1591,97,32,5,USA,extracted
Co-proj-0090,1 tonne,Copper,primary,67,19619,EU-Grid,1166,coal,ship,961,85,25,46,India,extracted
Al-proj-0091,1 tonne,Aluminium,primary,52,12746,EU-Grid,1685,oil,rail,1714,92,45,29,India,predicted
Al-proj-0092,1 tonne,Aluminium,secondary,76,4339,IN-Grid,1803,biomass,rail,548,85,26,46,China,user
Co-proj-0093,1 tonne,Copper,mix,37,1155,US-Grid,1444,natural_gas,rail,411,85,80,18,Europe,user
Al-proj-0094,1 tonne,Aluminium,primary,59,11383,EU-Grid,1389,coal,rail,125,85,76,49,China,extracted
Al-proj-0095,1 tonne,Aluminium,primary,24,6796,IN-Grid,147,natural_gas,rail,1425,99,49,15,China,predicted
Co-proj-0096,1 tonne,Copper,mix,30,6963,US-Grid,1505,natural_gas,ship,1138,98,40,40,India,user
Al-proj-0097,1 tonne,Aluminium,primary,42,6950,IN-Grid,1839,biomass,ship,823,88,67,28,Europe,user
Co-proj-0098,1 tonne,Copper,secondary,54,1033,US-Grid,416,biomass,ship,1433,87,91,37,China,predicted
Al-proj-0099,1 tonne,Aluminium,mix,28,2874,EU-Grid,70,coal,ship,137,90,44,30,India,predicted
Al-proj-0100,1 tonne,Aluminium,primary,33,11098,CN-Grid,716,coal,truck,255,90,93,19,Europe,user
Co-proj-0101,1 tonne,Copper,secondary,50,4601,US-Grid,111,oil,ship,1035,87,76,13,China,predicted
Co-proj-0102,1 tonne,Copper,secondary,42,6846,EU-Grid,1296,oil,ship,276,94,44,48,India,user
Co-proj-0103,1 tonne,Copper,primary,27,5634,CN-Grid,1942,oil,truck,523,85,62,9,India,extracted
Al-proj-0104,1 tonne,Aluminium,primary,48,11900,CN-Grid,376,coal,rail,774,93,69,35,India,user
Co-proj-0105,1 tonne,Copper,secondary,44,2773,CN-Grid,1002,natural_gas,ship,1123,97,69,29,Europe,extracted
Al-proj-0106,1 tonne,Aluminium,secondary,69,1910,US-Grid,1670,biomass,rail,1537,98,44,43,India,extracted
Al-proj-0107,1 tonne,Aluminium,primary,87,7272,EU-Grid,1811,natural_gas,rail,611,94,39,17,China,user
Co-proj-0108,1 tonne,Copper,primary,60,18867,US-Grid,1554,biomass,rail,524,97,61,45,USA,extracted
Co-proj-0109,1 tonne,Copper,mix,71,7905,EU-Grid,1328,oil,truck,1282,90,51,6,USA,user
Al-proj-0110,1 tonne,Aluminium,secondary,29,1116,US-Grid,572,coal,rail,724,90,71,39,USA,user
Co-proj-0111,1 tonne,Copper,primary,48,4375,EU-Grid,1794,oil,rail,471,93,94,9,USA,predicted
Al-proj-0112,1 tonne,Aluminium,primary,76,4308,US-Grid,789,coal,rail,1661,89,44,9,USA,user
Co-proj-0113,1 tonne,Copper,mix,30,3212,CN-Grid,1568,biomass,ship,775,97,60,12,China,user
Al-proj-0114,1 tonne,Aluminium,mix,48,2415,EU-Grid,644,oil,ship,998,92,32,39,India,user
Co-proj-0115,1 tonne,Copper,secondary,35,7960,US-Grid,581,biomass,rail,1197,85,51,17,Europe,extracted
Al-proj-0116,1 tonne,Aluminium,mix,28,1731,EU-Grid,1549,coal,ship,1144,92,44,12,USA,predicted
Al-proj-0117,1 tonne,Aluminium,secondary,50,2927,EU-Grid,643,natural_gas,truck,786,92,22,17,USA,predicted
Al-proj-0118,1 tonne,Aluminium,secondary,64,2186,IN-Grid,1612,natural_gas,ship,1382,95,39,16,USA,user
Al-proj-0119,1 tonne,Aluminium,mix,50,4327,US-Grid,1581,natural_gas,truck,1511,94,57,37,Europe,extracted
Al-proj-0120,1 tonne,Aluminium,secondary,86,4458,CN-Grid,1889,biomass,rail,1559,89,42,48,India,predicted
Al-proj-0121,1 tonne,Aluminium,secondary,84,4510,IN-Grid,700,natural_gas,rail,50,87,75,39,Europe,predicted
Co-proj-0122,1 tonne,Copper,secondary,26,6203,CN-Grid,192,natural_gas,ship,451,97,58,8,China,user
Al-proj-0123,1 tonne,Aluminium,primary,21,6742,US-Grid,653,oil,rail,1843,96,57,45,China,user
Co-proj-0124,1 tonne,Copper,primary,41,8272,EU-Grid,233,oil,rail,144,90,27,34,India,extracted
Co-proj-0125,1 tonne,Copper,primary,35,4888,IN-Grid,822,coal,rail,256,91,36,48,India,predicted
Al-proj-0126,1 tonne,Aluminium,mix,46,628,CN-Grid,1191,oil,rail,470,99,40,21,Europe,user
Al-proj-0127,1 tonne,Aluminium,secondary,24,1758,US-Grid,1805,oil,ship,775,95,71,24,India,predicted
Al-proj-0128,1 tonne,Aluminium,primary,23,13720,EU-Grid,1400,natural_gas,ship,1267,93,87,7,India,user
Al-proj-0129,1 tonne,Aluminium,secondary,79,4794,EU-Grid,1226,natural_gas,truck,855,96,44,16,India,user
Al-proj-0130,1 tonne,Aluminium,primary,35,8737,CN-Grid,1177,natural_gas,truck,1951,99,66,31,USA,extracted
Al-proj-0131,1 tonne,Aluminium,secondary,44,4671,IN-Grid,817,natural_gas,ship,1389,92,86,36,India,extracted
Co-proj-0132,1 tonne,Copper,primary,25,19291,CN-Grid,1875,coal,truck,796,85,86,49,USA,user
Al-proj-0133,1 tonne,Aluminium,mix,58,2555,CN-Grid,721,oil,truck,530,94,83,26,USA,predicted
Co-proj-0134,1 tonne,Copper,mix,48,3018,IN-Grid,398,natural_gas,rail,1176,87,77,6,USA,user
Al-proj-0135,1 tonne,Aluminium,secondary,84,1112,US-Grid,1468,oil,ship,1577,98,61,22,USA,user
Al-proj-0136,1 tonne,Aluminium,secondary,64,1029,US-Grid,1429,coal,truck,1306,85,83,26,USA,extracted
Co-proj-0137,1 tonne,Copper,primary,33,18742,EU-Grid,692,coal,ship,808,93,24,16,India,user
Co-proj-0138,1 tonne,Copper,primary,30,2334,CN-Grid,1852,oil,ship,1748,96,21,21,USA,extracted
Al-proj-0139,1 tonne,Aluminium,mix,36,3887,EU-Grid,842,natural_gas,rail,1200,96,35,33,USA,user
Co-proj-0140,1 tonne,Copper,primary,70,20843,EU-Grid,856,natural_gas,rail,1367,87,58,50,Europe,predicted
Co-proj-0141,1 tonne,Copper,mix,44,2554,EU-Grid,258,natural_gas,ship,1847,88,47,32,India,extracted
Co-proj-0142,1 tonne,Copper,secondary,29,7640,IN-Grid,587,oil,ship,1671,85,35,9,India,extracted
Co-proj-0143,1 tonne,Copper,mix,88,2969,EU-Grid,1437,biomass,ship,456,86,25,22,China,predicted
Co-proj-0144,1 tonne,Copper,secondary,50,6603,US-Grid,1071,natural_gas,truck,1061,89,90,41,China,predicted
Co-proj-0145,1 tonne,Copper,mix,54,4574,EU-Grid,88,coal,ship,136,94,65,49,USA,extracted
Co-proj-0146,1 tonne,Copper,mix,83,2541,IN-Grid,1244,oil,rail,704,90,77,43,USA,user
Co-proj-0147,1 tonne,Copper,secondary,75,3506,US-Grid,1951,oil,rail,1583,94,40,16,China,user
Co-proj-0148,1 tonne,Copper,secondary,87,6104,CN-Grid,1710,biomass,truck,706,92,56,50,China,predicted
Al-proj-0149,1 tonne,Aluminium,secondary,28,2951,US-Grid,1774,natural_gas,ship,1602,88,78,5,India,user
Co-proj-0150,1 tonne,Copper,primary,83,14876,EU-Grid,1720,natural_gas,rail,1397,89,43,33,China,user
Al-proj-0151,1 tonne,Aluminium,secondary,62,4458,IN-Grid,1633,oil,ship,1206,97,36,17,USA,extracted
Al-proj-0152,1 tonne,Aluminium,primary,38,10139,US-Grid,493,biomass,ship,906,98,85,45,Europe,predicted
Al-proj-0153,1 tonne,Aluminium,mix,77,4356,IN-Grid,809,biomass,ship,1728,94,93,19,China,extracted
Co-proj-0154,1 tonne,Copper,mix,30,2027,IN-Grid,1933,oil,truck,1185,92,56,7,USA,predicted
Co-proj-0155,1 tonne,Copper,primary,42,5764,IN-Grid,216,oil,ship,1552,89,43,17,India,user
Co-proj-0156,1 tonne,Copper,secondary,22,5843,CN-Grid,470,oil,ship,455,99,63,21,USA,extracted
Co-proj-0157,1 tonne,Copper,mix,38,3265,EU-Grid,136,oil,rail,1902,97,67,13,USA,user
Al-proj-0158,1 tonne,Aluminium,mix,84,1572,US-Grid,740,biomass,ship,479,87,66,40,USA,extracted
Al-proj-0159,1 tonne,Aluminium,secondary,68,1677,EU-Grid,1066,natural_gas,rail,431,98,21,31,India,user
Co-proj-0160,1 tonne,Copper,primary,83,15523,EU-Grid,1641,coal,ship,758,97,76,34,Europe,user
Al-proj-0161,1 tonne,Aluminium,primary,67,8421,US-Grid,323,coal,rail,1314,90,23,48,Europe,extracted
Al-proj-0162,1 tonne,Aluminium,secondary,40,1916,EU-Grid,664,oil,truck,1724,91,29,22,USA,extracted
Al-proj-0163,1 tonne,Aluminium,primary,60,9413,EU-Grid,337,biomass,ship,1718,98,26,39,Europe,predicted
Al-proj-0164,1 tonne,Aluminium,mix,60,2392,CN-Grid,253,oil,truck,1668,90,69,45,USA,predicted
Al-proj-0165,1 tonne,Aluminium,secondary,69,4341,EU-Grid,385,oil,rail,942,90,79,17,Europe,user
Al-proj-0166,1 tonne,Aluminium,secondary,23,3059,CN-Grid,519,natural_gas,rail,1437,96,75,16,India,user
Al-proj-0167,1 tonne,Aluminium,secondary,85,4522,EU-Grid,112,biomass,truck,1913,87,41,23,China,extracted
Co-proj-0168,1 tonne,Copper,primary,80,15062,EU-Grid,1853,natural_gas,rail,74,86,84,6,Europe,predicted
Co-proj-0169,1 tonne,Copper,secondary,66,3746,EU-Grid,818,coal,rail,1765,85,55,49,China,extracted
Al-proj-0170,1 tonne,Aluminium,mix,26,4077,IN-Grid,1250,biomass,rail,1454,98,75,39,China,predicted
Al-proj-0171,1 tonne,Aluminium,secondary,50,1892,CN-Grid,1835,oil,rail,1015,87,36,42,India,user
Co-proj-0172,1 tonne,Copper,mix,49,2432,EU-Grid,390,biomass,ship,646,91,45,7,India,predicted
Al-proj-0173,1 tonne,Aluminium,primary,70,11013,US-Grid,1957,natural_gas,ship,1975,99,44,32,Europe,user
Al-proj-0174,1 tonne,Aluminium,mix,38,3726,US-Grid,1101,oil,ship,1857,85,52,34,Europe,predicted
Co-proj-0175,1 tonne,Copper,primary,30,8544,US-Grid,186,oil,rail,1558,90,61,13,Europe,extracted
Al-proj-0176,1 tonne,Aluminium,primary,86,11267,IN-Grid,1199,biomass,rail,491,94,60,37,Europe,user
Co-proj-0177,1 tonne,Copper,mix,36,5348,CN-Grid,428,natural_gas,ship,1164,96,80,34,Europe,user
Co-proj-0178,1 tonne,Copper,secondary,53,6568,IN-Grid,1262,natural_gas,truck,539,97,61,12,China,predicted
Al-proj-0179,1 tonne,Aluminium,primary,83,1838,CN-Grid,334,oil,ship,1160,96,51,40,China,predicted
Co-proj-0180,1 tonne,Copper,mix,44,5020,US-Grid,1409,biomass,rail,1591,98,40,35,USA,extracted
Al-proj-0181,1 tonne,Aluminium,mix,37,4222,US-Grid,872,natural_gas,ship,1819,99,78,16,China,predicted
Al-proj-0182,1 tonne,Aluminium,secondary,59,3190,US-Grid,1719,biomass,rail,1833,88,45,40,USA,user
Co-proj-0183,1 tonne,Copper,secondary,63,7928,IN-Grid,801,oil,truck,666,85,91,8,USA,extracted
Al-proj-0184,1 tonne,Aluminium,primary,82,12116,US-Grid,293,oil,truck,1957,88,36,50,India,predicted
Co-proj-0185,1 tonne,Copper,mix,64,2356,EU-Grid,1197,biomass,ship,1624,99,91,42,India,predicted
Co-proj-0186,1 tonne,Copper,primary,51,10495,EU-Grid,112,coal,ship,1888,90,44,48,USA,user
Co-proj-0187,1 tonne,Copper,secondary,38,2906,IN-Grid,407,coal,truck,827,85,30,49,China,user
Co-proj-0188,1 tonne,Copper,mix,87,5397,EU-Grid,590,coal,rail,139,98,57,46,Europe,predicted
Al-proj-0189,1 tonne,Aluminium,secondary,60,3763,IN-Grid,461,biomass,rail,1968,87,72,17,USA,user
Co-proj-0190,1 tonne,Copper,secondary,67,5013,CN-Grid,526,oil,rail,1522,96,65,15,India,user
Co-proj-0191,1 tonne,Copper,mix,53,5726,US-Grid,1506,coal,truck,503,96,29,24,Europe,predicted
Co-proj-0192,1 tonne,Copper,mix,54,5940,IN-Grid,760,coal,ship,1439,93,83,33,USA,user
Al-proj-0193,1 tonne,Aluminium,mix,24,2434,CN-Grid,99,natural_gas,ship,618,99,40,44,Europe,predicted
Co-proj-0194,1 tonne,Copper,secondary,79,863,IN-Grid,1058,biomass,ship,1817,97,93,9,Europe,extracted
Al-proj-0195,1 tonne,Aluminium,secondary,36,1431,CN-Grid,1050,oil,truck,523,89,47,37,China,extracted
Co-proj-0196,1 tonne,Copper,primary,59,3897,EU-Grid,252,biomass,rail,1796,89,66,11,China,predicted
Co-proj-0197,1 tonne,Copper,secondary,71,5548,EU-Grid,114,oil,ship,422,93,88,47,China,user
Al-proj-0198,1 tonne,Aluminium,mix,46,3507,EU-Grid,1476,natural_gas,rail,1896,87,20,18,USA,user
Co-proj-0199,1 tonne,Copper,secondary,49,4940,US-Grid,764,coal,rail,1619,96,55,46,USA,predicted
Al-proj-0200,1 tonne,Aluminium,secondary,27,3329,US-Grid,926,biomass,truck,1662,96,87,46,India,user
Al-proj-0201,1 tonne,Aluminium,secondary,74,524,CN-Grid,933,coal,ship,783,96,84,33,USA,extracted
Al-proj-0202,1 tonne,Aluminium,mix,42,2980,IN-Grid,168,natural_gas,ship,540,88,78,43,USA,predicted
Al-proj-0203,1 tonne,Aluminium,secondary,58,1144,IN-Grid,669,oil,rail,592,92,28,47,India,extracted
Co-proj-0204,1 tonne,Copper,secondary,38,1116,IN-Grid,1810,biomass,truck,1062,85,78,40,China,extracted
Al-proj-0205,1 tonne,Aluminium,mix,35,1231,EU-Grid,1632,coal,ship,1454,86,85,35,USA,user
Al-proj-0206,1 tonne,Aluminium,secondary,70,996,EU-Grid,1286,biomass,truck,780,98,50,14,China,extracted
Al-proj-0207,1 tonne,Aluminium,primary,81,4110,EU-Grid,359,natural_gas,truck,785,88,24,30,China,extracted
Al-proj-0208,1 tonne,Aluminium,mix,50,2170,US-Grid,1568,coal,ship,443,90,46,33,China,user
Co-proj-0209,1 tonne,Copper,secondary,83,4482,EU-Grid,1890,natural_gas,rail,271,93,77,30,Europe,predicted
Co-proj-0210,1 tonne,Copper,secondary,30,1715,CN-Grid,1623,coal,rail,446,98,77,35,Europe,extracted
Al-proj-0211,1 tonne,Aluminium,primary,28,3473,EU-Grid,1886,natural_gas,rail,1079,89,50,20,China,predicted
Al-proj-0212,1 tonne,Aluminium,secondary,26,1271,IN-Grid,255,natural_gas,truck,1249,87,35,33,USA,extracted
Co-proj-0213,1 tonne,Copper,secondary,34,941,IN-Grid,329,biomass,rail,420,95,92,18,USA,user
Co-proj-0214,1 tonne,Copper,primary,25,14282,EU-Grid,348,oil,truck,163,86,55,30,China,predicted
Co-proj-0215,1 tonne,Copper,primary,58,20997,EU-Grid,1675,coal,ship,1323,87,29,27,USA,user
Al-proj-0216,1 tonne,Aluminium,primary,53,6608,IN-Grid,1608,biomass,truck,869,95,91,26,USA,user
Co-proj-0217,1 tonne,Copper,secondary,75,7248,IN-Grid,1155,coal,ship,1134,91,57,34,USA,user
Co-proj-0218,1 tonne,Copper,secondary,68,6551,EU-Grid,1089,coal,ship,593,95,48,26,India,user
Al-proj-0219,1 tonne,Aluminium,mix,21,1707,EU-Grid,1526,coal,ship,1076,98,58,33,Europe,user
Al-proj-0220,1 tonne,Aluminium,secondary,54,2231,IN-Grid,1899,natural_gas,rail,1845,91,72,38,Europe,predicted
Al-proj-0221,1 tonne,Aluminium,secondary,34,2907,US-Grid,1994,coal,ship,1135,92,71,9,India,predicted
Al-proj-0222,1 tonne,Aluminium,secondary,48,4437,EU-Grid,259,coal,rail,529,97,21,14,USA,extracted
Co-proj-0223,1 tonne,Copper,secondary,74,4913,CN-Grid,1997,natural_gas,ship,1917,89,91,21,Europe,extracted
Al-proj-0224,1 tonne,Aluminium,mix,62,4423,IN-Grid,906,natural_gas,ship,416,95,35,33,India,user
Co-proj-0225,1 tonne,Copper,primary,78,16354,IN-Grid,802,oil,rail,540,91,79,38,USA,predicted
Co-proj-0226,1 tonne,Copper,primary,84,20000,IN-Grid,845,coal,rail,402,94,28,16,China,predicted
Al-proj-0227,1 tonne,Aluminium,secondary,70,561,EU-Grid,661,biomass,truck,71,93,70,43,China,predicted
Al-proj-0228,1 tonne,Aluminium,secondary,57,575,EU-Grid,299,biomass,truck,679,94,76,33,India,user
Co-proj-0229,1 tonne,Copper,mix,50,6143,IN-Grid,744,natural_gas,ship,1816,95,23,20,India,user
Co-proj-0230,1 tonne,Copper,primary,36,20384,CN-Grid,1787,biomass,rail,1877,98,87,24,USA,predicted
Al-proj-0231,1 tonne,Aluminium,secondary,26,1755,EU-Grid,1775,oil,truck,1886,89,48,22,China,user
Al-proj-0232,1 tonne,Aluminium,mix,21,883,US-Grid,1952,oil,truck,878,97,28,27,Europe,user
